Country,Year,Attack Type,Target Industry,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Financial Loss ($M),Affected Users,Incident Resolution Time (h),Loss per Affected User,Resolution Category,Loss norm,User norm,Res norm,Severity Score
India,2015,DDoS,IT,Insider,Social Engineering,Encryption,93.14,805278,56,0.0,1-3 days,0.9311488591818273,0.8054895312401484,0.7746478873239436,0.862150866427747
UK,2019,Malware,Telecommunications,Insider,Social Engineering,Firewall,14.01,578443,28,0.0,1-3 days,0.1357925419640165,0.5784754171040951,0.38028169014084506,0.3174952341414058
India,2016,DDoS,IT,Nation-state,Social Engineering,AI-based Detection,36.45,261808,6,0.0,Under a day,0.36134284852749027,0.2615903948215142,0.07042253521126761,0.2732330497524529
Brazil,2015,Ransomware,Retail,Hacker Group,Weak Passwords,Antivirus,49.55,920172,43,0.0,1-3 days,0.4930143733038496,0.9204742541865532,0.5915492957746479,0.6409593220628202
France,2023,Ransomware,Education,Insider,Social Engineering,VPN,17.72,261661,11,0.0,Under a day,0.17308272188159612,0.26144327874693135,0.14084507042253522,0.19314335864938453
India,2017,DDoS,Government,Nation-state,Unpatched Software,Firewall,76.71,246205,30,0.0,1-3 days,0.766006633832546,0.24597507433364926,0.4084507042253521,0.5384859800614382
Japan,2022,Phishing,Telecommunications,Nation-state,Weak Passwords,Antivirus,20.42,186148,32,0.0,1-3 days,0.20022112775153283,0.18587065194438412,0.43661971830985913,0.24319570312105349
Brazil,2023,DDoS,Telecommunications,Hacker Group,Social Engineering,VPN,51.84,699007,30,0.0,1-3 days,0.5160317619861293,0.6991346172129811,0.4084507042253521,0.5494464070020294
China,2021,Phishing,Retail,Insider,Zero-day,AI-based Detection,51.06,628562,52,0.0,1-3 days,0.5081917780681476,0.6286339922198615,0.7183098591549296,0.5863480585310182
Japan,2022,Malware,Education,Nation-state,Unpatched Software,VPN,53.04,570494,53,0.0,1-3 days,0.5280932757061011,0.5705201403907684,0.7323943661971831,0.5816815532097177
Japan,2022,Ransomware,Banking,Insider,Unpatched Software,Encryption,26.17,937653,24,0.0,Under a day,0.25801588099306466,0.9379690575864357,0.323943661971831,0.4751873901668292
France,2020,Malware,IT,Unknown,Social Engineering,Antivirus,87.32,599757,9,0.0,Under a day,0.8726505176399638,0.5998062471289848,0.11267605633802817,0.6388023442262829
Australia,2015,DDoS,Government,Hacker Group,Zero-day,Encryption,82.7,904805,61,0.0,1-3 days,0.8262136898180722,0.9050951200497193,0.8450704225352113,0.8536494654309941
UK,2022,SQL Injection,Education,Hacker Group,Social Engineering,AI-based Detection,66.24,678876,11,0.0,Under a day,0.6607699266257915,0.6789877213121153,0.14084507042253522,0.5622502937910373
France,2020,Malware,Telecommunications,Hacker Group,Zero-day,AI-based Detection,18.38,246900,34,0.0,1-3 days,0.17971655442758067,0.24667062312164298,0.4647887323943662,0.25681721062915647
India,2015,SQL Injection,IT,Unknown,Unpatched Software,Encryption,42.99,85255,61,0.0,1-3 days,0.42707809830133686,0.08489798450977822,0.8450704225352113,0.4080225290106442
Japan,2022,Phishing,Banking,Nation-state,Zero-day,Antivirus,98.47,972469,21,0.0,Under a day,0.9847220826213691,0.9728125491012409,0.28169014084507044,0.8405428342100709
Brazil,2023,Phishing,Healthcare,Nation-state,Weak Passwords,VPN,14.51,113777,27,0.0,1-3 days,0.14081817268067143,0.11344250613734236,0.36619718309859156,0.17768127480125673
Brazil,2020,Phishing,Banking,Hacker Group,Zero-day,Encryption,17.75,739540,31,0.0,1-3 days,0.17338425972459545,0.739699623002549,0.4225352112676056,0.39310905901658355
China,2020,Man-in-the-Middle,Education,Nation-state,Zero-day,Firewall,19.81,722788,70,0.0,1-3 days,0.19408985827721378,0.7229343952378426,0.971830985915493,0.5082914448930582
Japan,2021,SQL Injection,Retail,Insider,Unpatched Software,Encryption,82.52,214372,12,0.0,Under a day,0.8244044627600764,0.2141169382642905,0.15492957746478872,0.507423228352283
USA,2022,DDoS,Retail,Insider,Weak Passwords,AI-based Detection,32.53,235314,62,0.0,1-3 days,0.3219419037089155,0.2350754745494195,0.8591549295774648,0.40332458013477657
Brazil,2016,DDoS,Education,Nation-state,Unpatched Software,VPN,96.98,140812,71,0.0,1-3 days,0.9697457030857374,0.14049885359548683,0.9859154929577465,0.724205606213064
Russia,2015,DDoS,Telecommunications,Unknown,Zero-day,AI-based Detection,96.39,238356,3,0.0,Under a day,0.9638154588400845,0.23811987658262368,0.028169014084507043,0.5589774952117308
India,2021,SQL Injection,IT,Nation-state,Zero-day,VPN,98.09,826976,57,0.0,1-3 days,0.9809026032767113,0.827204664480275,0.7887323943661971,0.8963591798556776
UK,2019,Man-in-the-Middle,Retail,Nation-state,Unpatched Software,Encryption,39.77,757694,69,0.0,1-3 days,0.394713036486079,0.757867957818719,0.9577464788732394,0.616266201363303
USA,2017,DDoS,IT,Hacker Group,Zero-day,VPN,74.12,403108,64,0.0,1-3 days,0.7399738667202734,0.4030019685531885,0.8873239436619719,0.6683523126584876
Australia,2020,DDoS,Banking,Insider,Weak Passwords,Antivirus,92.95,942890,19,0.0,Under a day,0.9292391195094986,0.9432101928421525,0.2535211267605634,0.7982868429595077
France,2022,Malware,Healthcare,Unknown,Weak Passwords,AI-based Detection,20.33,794906,36,0.0,1-3 days,0.19931651422253494,0.7951093412702622,0.49295774647887325,0.4367826087881208
Australia,2016,SQL Injection,Government,Hacker Group,Unpatched Software,Antivirus,27.33,481293,65,0.0,1-3 days,0.2696753442557041,0.4812487052284252,0.9014084507042254,0.4594939738372247
India,2016,DDoS,Education,Hacker Group,Unpatched Software,VPN,21.01,602692,29,0.0,1-3 days,0.20615137199718567,0.6027435646725267,0.39436619718309857,0.36277199483697053
UK,2018,Man-in-the-Middle,Retail,Hacker Group,Zero-day,Firewall,13.66,455529,40,0.0,1-3 days,0.13227460046235803,0.4554643613811297,0.5492957746478874,0.3126357635750954
Japan,2017,Phishing,Telecommunications,Hacker Group,Zero-day,VPN,75.84,383395,31,0.0,1-3 days,0.7572620363855664,0.3832734027147419,0.4225352112676056,0.5781200812607269
USA,2023,DDoS,Retail,Hacker Group,Zero-day,VPN,59.69,113612,70,0.0,1-3 days,0.5949341642376118,0.1132773758495453,0.971830985915493,0.5258164920567681
Australia,2019,Malware,Government,Insider,Unpatched Software,Antivirus,21.72,984411,17,0.0,Under a day,0.21328776761483567,0.9847639787792568,0.22535211267605634,0.4471434999764061
UK,2015,Phishing,IT,Hacker Group,Weak Passwords,AI-based Detection,85.58,17229,30,0.0,1-3 days,0.8551613227460046,0.01681826961472602,0.4084507042253521,0.5143162831024906
France,2018,Phishing,Healthcare,Insider,Social Engineering,Encryption,75.11,581303,51,0.0,1-3 days,0.7499246155392502,0.5813376754259111,0.704225352112676,0.6902086808199337
India,2019,Man-in-the-Middle,Education,Nation-state,Zero-day,AI-based Detection,10.8,799474,23,0.0,Under a day,0.10352799276309178,0.7996809482681836,0.30985915492957744,0.35364011184791644
India,2020,DDoS,Banking,Nation-state,Unpatched Software,AI-based Detection,86.27,898655,10,0.0,Under a day,0.8620966931349885,0.898940263868192,0.1267605633802817,0.7260825384040082
UK,2021,Malware,Healthcare,Unknown,Weak Passwords,Antivirus,67.1,698852,57,0.0,1-3 days,0.669414011458438,0.6989794948214141,0.7887323943661971,0.7021473330488827
India,2018,DDoS,Healthcare,Hacker Group,Unpatched Software,Firewall,76.43,304162,56,0.0,1-3 days,0.7631922806312194,0.303977838514588,0.7746478873239436,0.6277190693347748
Brazil,2015,Phishing,Banking,Hacker Group,Social Engineering,VPN,43.4,191625,65,0.0,1-3 days,0.43119911548899387,0.1913519767096239,0.9014084507042254,0.4532868408982291
Australia,2024,Phishing,Education,Unknown,Unpatched Software,VPN,93.32,93185,14,0.0,Under a day,0.9329580862398231,0.09283424622026779,0.18309859154929578,0.530949035295851
India,2019,Phishing,Healthcare,Nation-state,Zero-day,VPN,35.6,40718,24,0.0,Under a day,0.35279927630917685,0.040325817069667966,0.323943661971831,0.25328611566985504
China,2015,Phishing,Government,Nation-state,Zero-day,Firewall,42.73,310574,65,0.0,1-3 days,0.42446477032867624,0.3103949015773445,0.9014084507042254,0.48563254577838655
India,2024,DDoS,Education,Nation-state,Social Engineering,Firewall,73.37,475719,52,0.0,1-3 days,0.7324354206452911,0.47567030386975323,0.7183098591549296,0.6525807733145574
UK,2018,Malware,Retail,Unknown,Weak Passwords,Antivirus,73.18,404060,32,0.0,1-3 days,0.7305256809729622,0.4039547202742964,0.43661971830985913,0.5737732002307419
China,2024,Malware,Education,Hacker Group,Zero-day,Firewall,72.35,132726,55,0.0,1-3 days,0.7221831339833149,0.13240646870380732,0.7605633802816901,0.5529261836591377
UK,2016,DDoS,Banking,Nation-state,Social Engineering,Firewall,87.68,336376,11,0.0,Under a day,0.8762689717559555,0.33621727543031454,0.14084507042253522,0.5671686825915792
Australia,2022,Malware,Healthcare,Unknown,Weak Passwords,Encryption,67.16,566437,63,0.0,1-3 days,0.6700170871444366,0.5664599368902064,0.8732394366197183,0.6795944119632239
Russia,2017,Man-in-the-Middle,Education,Nation-state,Weak Passwords,Antivirus,83.43,313631,16,0.0,Under a day,0.8335511106643885,0.3134543154548939,0.2112676056338028,0.553065371095423
France,2016,DDoS,Banking,Unknown,Zero-day,VPN,28.66,996004,28,0.0,1-3 days,0.2830435219620063,0.9963661328788415,0.38028169014084506,0.5164879388728246
China,2021,Phishing,Healthcare,Insider,Unpatched Software,Firewall,55.04,871600,29,0.0,1-3 days,0.5481957985727209,0.8718639006175872,0.39436619718309857,0.6145303089082563
Brazil,2015,DDoS,IT,Unknown,Weak Passwords,AI-based Detection,43.51,940656,41,0.0,1-3 days,0.432304754246658,0.9409744288243425,0.5633802816901409,0.6111207621086598
USA,2015,Ransomware,Telecommunications,Nation-state,Social Engineering,Firewall,20.73,297209,66,0.0,1-3 days,0.2033370187958589,0.2970193482657817,0.9154929577464789,0.3738729054269597
UK,2019,Phishing,IT,Insider,Unpatched Software,Antivirus,78.19,28321,63,0.0,1-3 days,0.7808825007538446,0.0279190281131813,0.8732394366197183,0.5734648461348204
Brazil,2022,Phishing,Telecommunications,Nation-state,Zero-day,Encryption,29.02,456783,10,0.0,Under a day,0.2866619760779978,0.45671935156838744,0.1267605633802817,0.3056989061855715
Germany,2018,Ransomware,Banking,Nation-state,Unpatched Software,VPN,87.56,933028,25,0.0,1-3 days,0.8750628203839582,0.9333404055800026,0.3380281690140845,0.7851391656687968
Australia,2023,Phishing,Telecommunications,Nation-state,Zero-day,AI-based Detection,24.65,221512,56,0.0,1-3 days,0.24273796361443362,0.22126257617260017,0.7746478873239436,0.3426773321237856
France,2017,Phishing,Banking,Hacker Group,Unpatched Software,Encryption,17.88,16585,12,0.0,Under a day,0.17469092371092573,0.016173761097505932,0.15492957746478872,0.12318350567767239
USA,2022,Ransomware,Education,Nation-state,Weak Passwords,Antivirus,21.01,787752,9,0.0,Under a day,0.20615137199718567,0.7879496923072304,0.11267605633802817,0.36199580495836764
Russia,2022,SQL Injection,Banking,Unknown,Social Engineering,Firewall,60.25,662517,40,0.0,1-3 days,0.6005628706402654,0.6626158038692529,0.5492957746478874,0.6089253314104861
Brazil,2018,Malware,Education,Hacker Group,Zero-day,Encryption,6.63,274509,20,0.0,Under a day,0.06161423258618957,0.2743014238233967,0.2676056338028169,0.16661867020067717
France,2024,Phishing,Government,Hacker Group,Unpatched Software,Firewall,5.8,508649,66,0.0,1-3 days,0.05327168559654237,0.5086263061555567,0.9154929577464789,0.362322326194234
Brazil,2021,DDoS,IT,Unknown,Weak Passwords,Encryption,70.26,740257,70,0.0,1-3 days,0.7011759975876973,0.740417189162249,0.971830985915493,0.7670793527256219
Australia,2024,Malware,Healthcare,Hacker Group,Social Engineering,AI-based Detection,62.08,969504,5,0.0,Under a day,0.6189566790632225,0.9698452078690086,0.056338028169014086,0.6116995075261167
Germany,2016,Man-in-the-Middle,Healthcare,Nation-state,Social Engineering,AI-based Detection,90.2,779494,54,0.0,1-3 days,0.9015981505678964,0.7796851716003927,0.7464788732394366,0.8340004014119533
Japan,2019,Malware,Banking,Insider,Weak Passwords,Encryption,44.17,605166,27,0.0,1-3 days,0.4389385867926425,0.6052195181998596,0.36619718309859156,0.47427458547599743
France,2023,Malware,Government,Insider,Zero-day,Encryption,55.18,274946,66,0.0,1-3 days,0.5496029751733843,0.2747387688886532,0.9154929577464789,0.5403217098025839
Japan,2019,Man-in-the-Middle,Banking,Nation-state,Zero-day,Firewall,41.32,645097,36,0.0,1-3 days,0.4102924917077093,0.6451820486363741,0.49295774647887325,0.49729240974054156
UK,2015,DDoS,Telecommunications,Nation-state,Unpatched Software,Antivirus,32.92,157678,68,0.0,1-3 days,0.32586189566790635,0.15737817137721663,0.9436619718309859,0.39887679361331535
Brazil,2022,DDoS,Retail,Nation-state,Social Engineering,AI-based Detection,15.16,157034,69,0.0,1-3 days,0.14735149261232286,0.15673366285999654,0.9577464788732394,0.3122451409388083
India,2020,SQL Injection,Education,Nation-state,Weak Passwords,Encryption,62.5,550656,4,0.0,Under a day,0.6231782088652126,0.5506664758494452,0.04225352112676056,0.48523975141279196
Australia,2017,SQL Injection,Healthcare,Hacker Group,Unpatched Software,Firewall,68.91,634048,66,0.0,1-3 days,0.6876067946527289,0.6341243240917084,0.9154929577464789,0.7171392861031727
UK,2023,DDoS,Banking,Nation-state,Weak Passwords,AI-based Detection,81.26,547495,3,0.0,Under a day,0.811739873354106,0.5475029798511025,0.028169014084507043,0.5757546334492851
UK,2024,DDoS,Healthcare,Hacker Group,Weak Passwords,Antivirus,58.31,487694,41,0.0,1-3 days,0.5810634234596442,0.4876547596053286,0.5633802816901409,0.5495041959494489
France,2023,Man-in-the-Middle,Retail,Hacker Group,Unpatched Software,Antivirus,88.65,427067,42,0.0,1-3 days,0.8860186953462661,0.4269798871309463,0.5774647887323944,0.6865962715588958
Australia,2023,Malware,Telecommunications,Hacker Group,Unpatched Software,AI-based Detection,1.51,954902,55,0.0,1-3 days,0.01015177404764298,0.9552316777937793,0.7605633802816901,0.4437580664182933
UK,2020,Ransomware,Banking,Nation-state,Weak Passwords,Firewall,49.23,128594,53,0.0,1-3 days,0.48979796964519046,0.12827120598151942,0.7323943661971831,0.4298592198564877
Germany,2024,Phishing,Healthcare,Nation-state,Social Engineering,Firewall,84.53,189430,1,0.0,Under a day,0.8446074982410293,0.18915524348711132,0.0,0.47905032216664806
France,2021,DDoS,Healthcare,Nation-state,Unpatched Software,AI-based Detection,90.63,603327,15,0.0,Under a day,0.9059201929842196,0.6033790660831396,0.19718309859154928,0.6734104360353614
UK,2021,DDoS,Education,Nation-state,Social Engineering,Encryption,80.26,276593,36,0.0,1-3 days,0.8016886119207961,0.2763870693977548,0.49295774647887325,0.5823519760754992
Japan,2023,Malware,Education,Insider,Unpatched Software,Firewall,22.87,975282,49,0.0,1-3 days,0.22484671826314204,0.9756277703107752,0.676056338028169,0.5403229578304374
India,2018,Ransomware,Retail,Hacker Group,Unpatched Software,Antivirus,23.79,486810,11,0.0,Under a day,0.2340938787817871,0.4867700615785855,0.14084507042253522,0.29124697194897625
Japan,2021,Ransomware,IT,Hacker Group,Weak Passwords,Firewall,35.43,969517,25,0.0,1-3 days,0.35109056186551413,0.9698582181341078,0.3380281690140845,0.5341083801758063
Australia,2022,Malware,Banking,Insider,Zero-day,Encryption,74.77,151599,18,0.0,Under a day,0.7465071866519248,0.15129437125892328,0.23943661971830985,0.46652922864730134
Japan,2022,SQL Injection,IT,Unknown,Social Engineering,AI-based Detection,66.66,749545,30,0.0,1-3 days,0.6649914564277817,0.7497125231807896,0.4084507042253521,0.6390996260131981
Brazil,2015,Malware,Retail,Hacker Group,Unpatched Software,VPN,78.13,71743,35,0.0,1-3 days,0.780279425067846,0.07137531512363254,0.4788732394366197,0.5073269549583367
Germany,2018,Phishing,Banking,Hacker Group,Weak Passwords,Antivirus,11.39,969684,41,0.0,1-3 days,0.1094582370087446,0.9700253500011509,0.5633802816901409,0.4584127798427457
Germany,2020,SQL Injection,Education,Unknown,Weak Passwords,Antivirus,87.84,842506,19,0.0,Under a day,0.877877173585285,0.8427469273256599,0.2535211267605634,0.7424668903424533
Brazil,2023,Man-in-the-Middle,IT,Nation-state,Social Engineering,Encryption,10.18,933883,41,0.0,1-3 days,0.09729621067443965,0.9341960807076783,0.5633802816901409,0.44158298588755146
UK,2019,Malware,Education,Nation-state,Unpatched Software,AI-based Detection,4.42,393748,10,0.0,Under a day,0.03940094481857473,0.39363457768179094,0.1267605633802817,0.163142958389881
Brazil,2020,DDoS,Banking,Unknown,Weak Passwords,Encryption,76.98,708549,37,0.0,1-3 days,0.7687204744195397,0.7086841517957668,0.5070422535211268,0.6983739334527252
Japan,2020,DDoS,Healthcare,Unknown,Zero-day,VPN,73.24,136762,41,0.0,1-3 days,0.7311287566589607,0.13644565562228597,0.5633802816901409,0.5191741313541943
Russia,2018,Malware,Telecommunications,Unknown,Social Engineering,VPN,8.11,737958,35,0.0,1-3 days,0.07649009950748818,0.7381163738189431,0.4788732394366197,0.3554546097867509
Japan,2020,Man-in-the-Middle,Banking,Insider,Unpatched Software,Antivirus,23.55,108886,51,0.0,1-3 days,0.23168157603779277,0.10854764409118794,0.704225352112676,0.289250151668788
Australia,2016,Phishing,Banking,Nation-state,Unpatched Software,VPN,92.79,285311,55,0.0,1-3 days,0.9276309176801689,0.2851119533311783,0.7605633802816901,0.701461720895776
USA,2021,Malware,Retail,Hacker Group,Unpatched Software,Antivirus,71.11,961868,57,0.0,1-3 days,0.7097195698060107,0.9622031783076848,0.7887323943661971,0.8012672172685502
Australia,2023,Man-in-the-Middle,Banking,Unknown,Zero-day,Firewall,57.34,471743,29,0.0,1-3 days,0.5713136998693337,0.4716911643286553,0.39436619718309857,0.5060374386698832
UK,2024,Phishing,Government,Unknown,Weak Passwords,Firewall,81.26,993903,25,0.0,1-3 days,0.811739873354106,0.994263473880892,0.3380281690140845,0.7717546126441376
China,2024,Ransomware,Telecommunications,Nation-state,Social Engineering,AI-based Detection,7.32,179156,34,0.0,1-3 days,0.06854960297517339,0.1788731309002803,0.4647887323943662,0.18089448723654403
Germany,2022,Man-in-the-Middle,Healthcare,Nation-state,Unpatched Software,Encryption,56.27,699129,25,0.0,1-3 days,0.5605588501356921,0.6992567135469886,0.3380281690140845,0.5576620729347596
Russia,2021,Malware,IT,Insider,Social Engineering,Encryption,83.76,920983,24,0.0,Under a day,0.8368680269373807,0.9212858945708163,0.323943661971831,0.7596085142343015
UK,2023,SQL Injection,Banking,Nation-state,Unpatched Software,Firewall,85.64,875790,36,0.0,1-3 days,0.8557643984320032,0.8760572091380099,0.49295774647887325,0.7892909112531792
Russia,2016,Malware,Retail,Hacker Group,Weak Passwords,Encryption,61.39,415274,40,0.0,1-3 days,0.6120213086742387,0.41517757510675923,0.5492957746478874,0.5404230817987246
Russia,2023,Ransomware,Banking,Hacker Group,Social Engineering,VPN,42.14,222293,38,0.0,1-3 days,0.41853452608302344,0.22204419286817298,0.5211267605633803,0.3801058730146396
France,2021,Man-in-the-Middle,Retail,Unknown,Unpatched Software,VPN,94.4,357092,71,0.0,1-3 days,0.9438134485877979,0.35694963326064266,0.9859154929577465,0.7761747128636411
Australia,2021,Malware,Telecommunications,Hacker Group,Zero-day,AI-based Detection,84.68,708291,54,0.0,1-3 days,0.8461151874560259,0.7084259480730296,0.7464788732394366,0.7848811527978091
Russia,2024,Malware,Banking,Nation-state,Social Engineering,Firewall,93.33,517610,35,0.0,1-3 days,0.9330585988541562,0.5175943819673723,0.4788732394366197,0.7175822619046137
Germany,2023,Malware,Government,Hacker Group,Unpatched Software,VPN,70.46,368803,23,0.0,Under a day,0.7031862498743592,0.3686698805357427,0.30985915492957744,0.5241659200838179
China,2023,Man-in-the-Middle,Healthcare,Nation-state,Unpatched Software,Firewall,48.71,421191,62,0.0,1-3 days,0.4845713136998694,0.4210992473061245,0.8591549295774648,0.540446416957265
India,2018,Phishing,IT,Hacker Group,Unpatched Software,Encryption,69.03,282139,37,0.0,1-3 days,0.6888129460247262,0.28193744864698245,0.5070422535211268,0.5303961583106832
China,2018,Malware,IT,Insider,Social Engineering,Encryption,49.19,117543,22,0.0,Under a day,0.4893959191878581,0.11721147985760766,0.29577464788732394,0.3390163331286762
France,2016,Phishing,Government,Unknown,Zero-day,Encryption,27.2,536925,62,0.0,1-3 days,0.2683686802693738,0.5369246335358598,0.8591549295774648,0.46709271611093783
France,2023,Ransomware,Retail,Unknown,Unpatched Software,VPN,64.08,238068,61,0.0,1-3 days,0.6390592019298422,0.23783164917119606,0.8450704225352113,0.5598931802233222
Japan,2022,Malware,Telecommunications,Insider,Social Engineering,VPN,38.46,39814,32,0.0,1-3 days,0.3815458840084431,0.03942110325046461,0.43661971830985913,0.28992321664133275
India,2018,DDoS,Government,Nation-state,Zero-day,Antivirus,80.89,268956,47,0.0,1-3 days,0.8080209066237813,0.26874403904680794,0.647887323943662,0.6142111298146655
France,2015,Malware,Education,Nation-state,Unpatched Software,Antivirus,15.76,424,58,0.04,1-3 days,0.15338224947230877,0.0,0.8028169014084507,0.23725450501784454
USA,2021,SQL Injection,Telecommunications,Unknown,Unpatched Software,Encryption,82.24,982969,64,0.0,1-3 days,0.8215901095587496,0.9833208401428727,0.8873239436619719,0.8832560955546309
Germany,2021,Malware,Government,Nation-state,Social Engineering,Firewall,82.72,219703,33,0.0,1-3 days,0.8264147150467384,0.21945214774457047,0.4507042253521127,0.5691838469171628
Japan,2016,Man-in-the-Middle,Retail,Nation-state,Unpatched Software,VPN,18.96,530947,12,0.0,Under a day,0.18554628605890042,0.5309419131694907,0.15492957746478872,0.28304163247325514
UK,2017,SQL Injection,IT,Insider,Unpatched Software,Antivirus,53.39,576110,37,0.0,1-3 days,0.5316112172077596,0.5761405749136068,0.5070422535211268,0.5400562317821872
UK,2017,Man-in-the-Middle,Government,Unknown,Zero-day,Antivirus,48.9,177154,68,0.0,1-3 days,0.4864810533721982,0.17686955007500918,0.9436619718309859,0.4850337860747991
France,2017,SQL Injection,Healthcare,Hacker Group,Social Engineering,Encryption,60.77,212177,2,0.0,Under a day,0.6057895265855866,0.21192020504177797,0.014084507042253521,0.36928772621377737
Germany,2021,DDoS,Banking,Hacker Group,Unpatched Software,Encryption,91.24,8787,55,0.01,1-3 days,0.9120514624585385,0.008369603617254013,0.7605633802816901,0.6106492883707835
USA,2015,Phishing,Education,Insider,Social Engineering,Encryption,41.36,291727,31,0.0,1-3 days,0.41069454216504175,0.2915330195524269,0.4225352112676056,0.37731421920177005
Germany,2022,DDoS,IT,Hacker Group,Social Engineering,VPN,78.18,987652,72,0.0,1-3 days,0.7807819881395116,0.9880075379474406,1.0,0.8867932554539879
China,2022,Ransomware,Telecommunications,Unknown,Social Engineering,Antivirus,16.16,236284,38,0.0,1-3 days,0.15740275404563273,0.23604624048374168,0.5211267605633803,0.25374060128061493
USA,2020,Man-in-the-Middle,Telecommunications,Nation-state,Zero-day,VPN,15.63,209853,1,0.0,Under a day,0.1520755854859785,0.2095943699578968,0.0,0.1389161037303583
Australia,2020,DDoS,Retail,Unknown,Zero-day,Antivirus,36.29,755621,50,0.0,1-3 days,0.35973464669816063,0.7557933209302139,0.6901408450704225,0.544633488642229
France,2015,SQL Injection,Retail,Insider,Unpatched Software,Antivirus,61.41,694844,43,0.0,1-3 days,0.6122223339029048,0.6949683300123798,0.5915492957746479,0.6329115251100959
France,2018,SQL Injection,Retail,Nation-state,Unpatched Software,Encryption,53.72,795831,61,0.0,1-3 days,0.5349281334807519,0.7960350716715489,0.8450704225352113,0.6752886727488828
Brazil,2020,DDoS,Retail,Unknown,Weak Passwords,Encryption,17.4,342253,22,0.0,Under a day,0.16986631822293696,0.34209891604475934,0.29577464788732394,0.24671776350236108
USA,2016,Phishing,Retail,Nation-state,Weak Passwords,AI-based Detection,75.94,638693,35,0.0,1-3 days,0.7582671625288974,0.6387729918906017,0.4788732394366197,0.6665401267189531
USA,2018,Phishing,Banking,Insider,Zero-day,VPN,55.9,618616,51,0.0,1-3 days,0.5568398834053674,0.6186801386293785,0.704225352112676,0.6048690537140324
Brazil,2023,SQL Injection,Retail,Hacker Group,Social Engineering,AI-based Detection,56.76,774426,21,0.0,Under a day,0.5654839682380138,0.7746131697909651,0.28169014084507044,0.5714639632253106
Australia,2023,DDoS,Government,Insider,Unpatched Software,Encryption,76.25,900661,64,0.0,1-3 days,0.7613830535732234,0.9009478478519551,0.8873239436619719,0.8284406698745925
